000,000,000,000,000,000,000,000,000,000,000,000,000,000,7FF,7FF; _
000,070,070,070,060,060,030,000,000,000,000,000,000,000,000,000; `
000,000,000,000,000,1FC,3FE,006,1FE,3FE,606,606,7FE,3FE,000,000; a
600,600,600,600,600,6F8,7FC,70E,606,606,606,60E,7FC,7F8,000,000; b
000,000,000,000,000,1F8,3FC,706,600,600,600,706,3FC,1F8,000,000; c
006,006,006,006,006,1F6,3FE,71E,606,606,606,706,3FE,1FE,000,000; d
000,000,000,000,000,1F8,3FC,706,7FE,7FC,600,700,3FC,1F8,000,000; e
078,0F8,1C0,180,180,180,7F0,7F0,180,180,180,180,180,180,000,000; f
000,000,000,000,000,1FE,3FE,706,606,70E,3FE,1F6,006,00E,3FC,3F8; g
600,600,600,600,600,6F0,7F8,71C,60C,60C,60C,60C,60C,60C,000,000; h
000,000,060,060,000,0E0,0E0,060,060,060,060,060,1F8,1F8,000,000; i
000,000,018,018,000,038,038,018,018,018,018,018,018,198,1F8,0F0; j
300,300,300,300,300,318,338,370,3E0,3E0,370,338,31C,30C,000,000; k
0E0,0E0,060,060,060,060,060,060,060,060,060,060,1F8,1F8,000,000; l
000,000,000,000,000,598,7FC,7FE,666,666,666,666,666,666,000,000; m
000,000,000,000,000,3F8,3FC,30E,306,306,306,306,306,306,000,000; n
000,000,000,000,000,1F8,3FC,70E,606,606,606,70E,3FC,1F8,000,000; o
000,000,000,000,000,7F8,7FC,60E,606,606,70E,7FC,6F8,600,600,600; p
000,000,000,000,000,1FE,3FE,706,606,606,70E,3FE,1F6,006,006,006; q
000,000,000,000,000,37C,3FE,386,300,300,300,300,300,300,000,000; r
000,000,000,000,000,3F0,7F8,600,7F0,3F8,018,018,7F8,3F0,000,000; s
000,180,180,180,180,7F0,7F0,180,180,180,180,180,1F8,0F8,000,000; t
000,000,000,000,000,606,606,606,606,606,606,70E,3FE,1F6,000,000; u
000,000,000,000,000,606,606,30C,30C,198,198,0F0,0F0,060,000,000; v
000,000,000,000,000,666,666,666,666,666,6F6,3FC,39C,108,000,000; w
000,000,000,000,000,60C,71C,3B8,1F0,0E0,1F0,3B8,71C,60C,000,000; x
000,000,000,000,000,30C,30C,198,198,0F0,0F0,060,060,0C0,0C0,180; y
000,000,000,000,000,7FC,7F8,030,060,0C0,180,300,7FC,7FC,000,000; z
03C,07C,0E0,0C0,0C0,0C0,1C0,380,1C0,0C0,0C0,0C0,0E0,07C,03C,000; {
060,060,060,060,060,060,060,060,060,060,060,060,060,060,000,000; |
3C0,3E0,070,030,030,030,038,01C,038,030,030,030,070,3E0,3C0,000; }
000,000,1C6,36C,638,000,000,000,000,000,000,000,000,000,000,000; ~
